	correlation_raw	correlation_smooth	euclidean_distance_smooth	mean_sliding_window_correlation_raw	co_peak_max_smooth
correlation_raw	1.0	0.9629028853880766	0.7124185525729532	0.48556778822517577	-0.6484621488323803
correlation_smooth	0.9629028853880766	1.0	0.6855509068118857	0.514404579135654	-0.6858867774064973
euclidean_distance_smooth	0.7124185525729532	0.6855509068118857	1.0	0.33415714202243685	-0.4316655658361021
mean_sliding_window_correlation_raw	0.48556778822517577	0.514404579135654	0.33415714202243685	1.0	-0.24967324179024197
co_peak_max_smooth	-0.6484621488323803	-0.6858867774064973	-0.4316655658361021	-0.24967324179024197	1.0
